file,line,detail
ring_buf.h,227,new,task_id,2, type,1
ring_buf.h,234,enqueue,task_id,2, type,1, ctrl_id,0, cnt,0
ring_buf.h,270,succeed,task_id,3,predecessor_cnt,2,predecessor_id,2,idx,0
ring_buf.h,227,new,task_id,3, type,0
ring_buf.h,270,succeed,task_id,4,predecessor_cnt,2,predecessor_id,2,idx,1
ring_buf.h,227,new,task_id,4, type,0
ring_buf.h,270,succeed,task_id,5,predecessor_cnt,2,predecessor_id,2,idx,2
ring_buf.h,227,new,task_id,5, type,0
ring_buf.h,270,succeed,task_id,6,predecessor_cnt,2,predecessor_id,2,idx,3
ring_buf.h,227,new,task_id,6, type,0
ring_buf.h,270,succeed,task_id,7,predecessor_cnt,2,predecessor_id,2,idx,4
ring_buf.h,227,new,task_id,7, type,0
ring_buf.h,270,succeed,task_id,8,predecessor_cnt,2,predecessor_id,2,idx,5
ring_buf.h,227,new,task_id,8, type,0
ring_buf.h,270,succeed,task_id,9,predecessor_cnt,2,predecessor_id,2,idx,6
ring_buf.h,227,new,task_id,9, type,0
ring_buf.h,270,succeed,task_id,10,predecessor_cnt,2,predecessor_id,2,idx,7
ring_buf.h,227,new,task_id,10, type,0
ring_buf.h,270,succeed,task_id,11,predecessor_cnt,2,predecessor_id,2,idx,8
ring_buf.h,227,new,task_id,11, type,0
ring_buf.h,270,succeed,task_id,12,predecessor_cnt,2,predecessor_id,3,idx,0
ring_buf.h,270,succeed,task_id,12,predecessor_cnt,3,predecessor_id,4,idx,0
ring_buf.h,270,succeed,task_id,12,predecessor_cnt,4,predecessor_id,5,idx,0
ring_buf.h,270,succeed,task_id,12,predecessor_cnt,5,predecessor_id,6,idx,0
ring_buf.h,270,succeed,task_id,12,predecessor_cnt,6,predecessor_id,7,idx,0
ring_buf.h,270,succeed,task_id,12,predecessor_cnt,7,predecessor_id,8,idx,0
ring_buf.h,270,succeed,task_id,12,predecessor_cnt,8,predecessor_id,10,idx,0
ring_buf.h,227,new,task_id,12, type,1
ring_buf.h,227,new,task_id,13, type,1
ring_buf.h,234,enqueue,task_id,13, type,1, ctrl_id,0, cnt,1
ring_buf.h,270,succeed,task_id,14,predecessor_cnt,2,predecessor_id,13,idx,0
ring_buf.h,227,new,task_id,14, type,0
ring_buf.h,270,succeed,task_id,15,predecessor_cnt,2,predecessor_id,13,idx,1
ring_buf.h,227,new,task_id,15, type,0
ring_buf.h,270,succeed,task_id,16,predecessor_cnt,2,predecessor_id,13,idx,2
ring_buf.h,227,new,task_id,16, type,0
ring_buf.h,270,succeed,task_id,17,predecessor_cnt,2,predecessor_id,13,idx,3
ring_buf.h,227,new,task_id,17, type,0
ring_buf.h,270,succeed,task_id,18,predecessor_cnt,2,predecessor_id,13,idx,4
ring_buf.h,227,new,task_id,18, type,0
ring_buf.h,270,succeed,task_id,19,predecessor_cnt,2,predecessor_id,13,idx,5
ring_buf.h,227,new,task_id,19, type,0
ring_buf.h,270,succeed,task_id,20,predecessor_cnt,2,predecessor_id,13,idx,6
ring_buf.h,227,new,task_id,20, type,0
ring_buf.h,270,succeed,task_id,21,predecessor_cnt,2,predecessor_id,13,idx,7
ring_buf.h,227,new,task_id,21, type,0
ring_buf.h,270,succeed,task_id,22,predecessor_cnt,2,predecessor_id,13,idx,8
ring_buf.h,227,new,task_id,22, type,0
ring_buf.h,270,succeed,task_id,23,predecessor_cnt,2,predecessor_id,14,idx,0
ring_buf.h,270,succeed,task_id,23,predecessor_cnt,3,predecessor_id,15,idx,0
ring_buf.h,270,succeed,task_id,23,predecessor_cnt,4,predecessor_id,16,idx,0
ring_buf.h,270,succeed,task_id,23,predecessor_cnt,5,predecessor_id,17,idx,0
ring_buf.h,270,succeed,task_id,23,predecessor_cnt,6,predecessor_id,18,idx,0
ring_buf.h,270,succeed,task_id,23,predecessor_cnt,7,predecessor_id,19,idx,0
ring_buf.h,270,succeed,task_id,23,predecessor_cnt,8,predecessor_id,21,idx,0
ring_buf.h,227,new,task_id,23, type,1
ring_buf.h,227,new,task_id,24, type,1
